name;description;price;url;shop;style
BIANCA - Tapis crème motif arc en relief- 120x160;Ce tapis rectangulaire, de couleur crème, est idéal pour apporter une touche cosy et confort. Que ce soit dans un salon ou une chambre à coucher. Son design moderne ton sur ton avec ses poils en relief lui confère un look moderne et intemporel. Grâce à son superbe motif géométrique et graphique, le tapis Bianca est un excellent choix pour vos pièces de vie.;39,92 €;https://www.maisonsdumonde.com/FR/fr/p/tapis-creme-motif-arc-en-relief-120x160-bianca-M22062255.htm;Maison du monde;modern
Romy - Tapis Vintage Oriental Multicolore/Bleu 200x275;Ce tapis Shabby Chic, d'inspiration Oriental, empreint de douceur, apporte une note élégante et racée à un intérieur. Ses tonalités bleues feront entrer un bout de ciel dans votre déco.;89,99 €;https://medias.maisonsdumonde.com/images/ar_1:1,c_pad,f_auto,q_auto,w_354/v1/mkp/M21044000_2/tapis-vintage-oriental-multicolore-bleu-200x275.jpg;Maison;modern
Bohouse - Tapis bohème chic à franges tressées crème 200x290cm;Designs élégants et couleurs douces subtilement associés! Les différentes hauteurs de poils donnent un effet relief élégant et les franges tressés apportent une touche Boho décontracté;139,90 €;https://medias.maisonsdumonde.com/images/ar_1:1,c_pad,f_auto,q_auto,w_354/v1/mkp/M23039601_2/tapis-boheme-chic-a-franges-tressees-creme-200x290cm.jpg;Maison du monde;modern
