name;description;price;url;shop;style
Fergus - Lit 180x200 beige;Créez un cocon chaleureux et confortable avec le lit 180x200 beige FERGUS ! Avec son revêtement doux et lumineux, ce lit prendra place dans votre chambre pour une atmosphère épurée. Si vous êtes dans la tendance Boho chic, ce lit pour 1 ou 2 personnes sera parfait comme pièce maîtresse de votre intérieur. Et pour parfaire votre déco, n'hésitez pas à le sublimer avec du linge de lit dans les tons pastel !;659,99 €;https://medias.maisonsdumonde.com/image/upload/ar_1:1,c_fill,f_auto,q_auto,w_354/v1/img/lit-180x200-beige-1000-8-6-187212_3.jpg;Maison du monde;modern
William - Lit adulte avec tête de lit capitonnée en velours beige sable 160x200;- Lit adulte avec tête de lit capitonnée - Sommier 26 lattes inclus - Rembourrage mousse haute densité - Revêtement velours - Couleur : beige sable - Structure en bois contreplaqué - Piètement droit en bois massif - Hauteur des pieds : 5 cm - Hauteur pieds + cadre de lit : 17 cm - Hauteur sol - sommier : 13 cm (position du matelas) - Epaisseur de la tête de lit : 10 cm - Hauteur de la tête de lit : 97 cm - Dimensions du couchage : 160x200 cm - Dimensions totales : 216 x 168 x 97 cm - Lattes rangées dans la tête de lit lors de la livraison - Garantie 2 ans;359,99 €;https://medias.maisonsdumonde.com/images/ar_1:1,c_pad,f_auto,q_auto,w_354/v1/mkp/M23025442_3/lit-adulte-avec-tete-de-lit-capitonnee-en-velours-beige-sable-160x200.jpg;Maison du monde;vintage
Newport - Lit 140x190 en pin blanc avec sommier à lattes;Peint dans un blanc éclatant, le lit 140 en pin blanc NEWPORT vous donne l'impression de vous endormir en vacances…;399,00 €;https://medias.maisonsdumonde.com/image/upload/ar_1:1,c_fill,f_auto,q_auto,w_354/v1/img/lit-140x190-en-pin-blanc-avec-sommier-a-lattes-1000-13-16-129740_4.jpg; Maison du monde; boheme
