name;description;price;url;shop;style
Penelope - Table de chevet 1 tiroir bleu foncé;Avec ses courbes féminines et son look vintage, la table de chevet 1 tiroir bleu foncé PENELOPE aura tout à fait sa place dans votre chambre. Monté sur des pieds obliques, ce meuble indispensable au quotidien présente 1 tiroir qui gardera précieusement vos petites affaires. La teinte bleu foncé de cette table de nuit s'accorde parfaitement aux quelques touches de métal doré. Un vrai coup de cœur !;79,99 €;https://medias.maisonsdumonde.com/image/upload/ar_1:1,c_fill,f_auto,q_auto,w_354/v1/img/table-de-chevet-1-tiroir-bleu-fonce-1000-11-28-187521_7.jpg;Maison du monde;vintage
Lane - Table de nuit à 2 tiroirs Blanc;Cette charmante table de chevet est un classique scandinave qui fera un splendide complément à toute chambre à coucher moderne ou traditionnelle.;91,29 €;https://medias.maisonsdumonde.com/images/ar_1:1,c_pad,f_auto,q_auto,w_354/v1/mkp/M22027657_2/table-de-nuit-a-2-tiroirs-blanc.jpg;Maison du monde;modern
Grace - Table de chevet 2 tiroirs en manguier massif et marbre blanc; La collection Grace trouve sa place dans un intérieur chic avec sa structure en manguier massif alliée à un plateau en marbre. ;424,15  €;https://medias.maisonsdumonde.com/images/ar_1:1,c_pad,f_auto,q_auto,w_354/v1/mkp/M22168570_2/table-de-chevet-2-tiroirs-en-manguier-massif-et-marbre-blanc.jpg;Maison du monde;vintage
