name;description;price;url;shop;style
OKLAHOMA - Miroir fenêtre rectangulaire en métal doré 50x110;Le miroir OKLAHOMA est un miroir qui apportera une touche d'élégance à votre intérieur.;89,99 €;https://medias.maisonsdumonde.com/image/upload/ar_1:1,c_fill,f_auto,q_auto,w_354/v1/img/miroir-fenetre-rectangulaire-en-metal-dore-50x110-1000-4-16-225475_1.jpg;Maison du monde;modern
Campel - Miroir en métal blanc 97x49;Le cadre incurvé et la couleur universelle font de ce miroir un objet de décoration exceptionnel. Son cadre métallique robuste présente un bel aspect vintage. Inspiré des formes victoriennes, ce miroir a la forme d'une fenêtre, ce qui lui permet de devenir instantanément le point de mire de n'importe quel mur. Qu'il soit assorti à un intérieur vintage, rétro ou moderne, ce miroir s'intègre à toutes les combinaisons de couleurs et à tous les décors.;119,99 € €;https://www.maisonsdumonde.com/FR/fr/p/miroir-en-metal-blanc-97x49-campel-M21029518.htm;Maison du monde;vintage
Bohème - Miroir rond bohème beige D.55 cm;Découvrez le charme bohème de notre miroir rond beige. Le miroir est orné d'un délicat travail de macramé qui ajoute une texture unique à vos murs.;41,19 €;https://medias.maisonsdumonde.com/images/ar_1:1,c_pad,f_auto,q_auto,w_354/v1/mkp/M24154489_1/miroir-rond-boheme-beige-d-55-cm.jpg;Maison du monde;boheme
